"","moduleColors","Gene"
"98","blue","gene.Ha412HOChr00c15370g0871831"
"99","indianred4","gene.Ha412HOChr00c18747g0872961"
"100","blue","gene.Ha412HOChr00c21034g0874361"
"101","turquoise","gene.Ha412HOChr00c22048g0874991"
"102","blue","gene.Ha412HOChr00c22169g0875091"
"103","blue","gene.Ha412HOChr00c23182g0875871"
"104","ivory","gene.Ha412HOChr00c24408g0876831"
"105","turquoise","gene.Ha412HOChr00c24434g0876881"
"106","darkorange","gene.Ha412HOChr01g0000001"
"107","darkturquoise","gene.Ha412HOChr01g0000011"
"108","turquoise","gene.Ha412HOChr01g0000091"
"109","antiquewhite2","gene.Ha412HOChr01g0000121"
"110","darkorange","gene.Ha412HOChr01g0000181"
"111","blue","gene.Ha412HOChr01g0000241"
"112","blue","gene.Ha412HOChr01g0000281"
"113","orangered4","gene.Ha412HOChr01g0000291"
"114","salmon2","gene.Ha412HOChr01g0000311"
"115","ivory","gene.Ha412HOChr01g0000381"
"116","mediumpurple3","gene.Ha412HOChr01g0000411"
"117","salmon4","gene.Ha412HOChr01g0000421"
"118","magenta","gene.Ha412HOChr01g0000431"
"119","blue","gene.Ha412HOChr01g0000441"
"120","blue","gene.Ha412HOChr01g0000451"
"121","skyblue3","gene.Ha412HOChr01g0000471"
"122","ivory","gene.Ha412HOChr01g0000541"
"123","blue","gene.Ha412HOChr01g0000551"
"124","darkturquoise","gene.Ha412HOChr01g0000561"
"125","greenyellow","gene.Ha412HOChr01g0000581"
"126","turquoise","gene.Ha412HOChr01g0000631"
"127","darkturquoise","gene.Ha412HOChr01g0000651"
"128","ivory","gene.Ha412HOChr01g0000681"
"129","black","gene.Ha412HOChr01g0000711"
"130","darkturquoise","gene.Ha412HOChr01g0000741"
"131","grey60","gene.Ha412HOChr01g0000761"
"132","ivory","gene.Ha412HOChr01g0000811"
"133","magenta","gene.Ha412HOChr01g0000821"
"134","greenyellow","gene.Ha412HOChr01g0000831"
"135","blue","gene.Ha412HOChr01g0000871"
"136","blue","gene.Ha412HOChr01g0000941"
"137","greenyellow","gene.Ha412HOChr01g0000951"
"138","black","gene.Ha412HOChr01g0000981"
"139","yellow","gene.Ha412HOChr01g0000991"
"140","violet","gene.Ha412HOChr01g0001001"
"141","mediumorchid","gene.Ha412HOChr01g0001031"
"142","turquoise","gene.Ha412HOChr01g0001041"
"143","ivory","gene.Ha412HOChr01g0001051"
"144","blue","gene.Ha412HOChr01g0001061"
"145","blue","gene.Ha412HOChr01g0001111"
"146","yellow","gene.Ha412HOChr01g0001151"
"147","black","gene.Ha412HOChr01g0001161"
"148","blue","gene.Ha412HOChr01g0001171"
"149","blue","gene.Ha412HOChr01g0001181"
"150","ivory","gene.Ha412HOChr01g0001191"
"151","yellow","gene.Ha412HOChr01g0001201"
"152","blue","gene.Ha412HOChr01g0001221"
"153","cyan","gene.Ha412HOChr01g0001251"
"154","blue","gene.Ha412HOChr01g0001271"
"155","saddlebrown","gene.Ha412HOChr01g0001371"
"156","antiquewhite2","gene.Ha412HOChr01g0001441"
"157","yellow","gene.Ha412HOChr01g0001491"
"158","darkturquoise","gene.Ha412HOChr01g0001501"
"159","blue2","gene.Ha412HOChr01g0001511"
"160","orangered4","gene.Ha412HOChr01g0001521"
"161","saddlebrown","gene.Ha412HOChr01g0001531"
"162","saddlebrown","gene.Ha412HOChr01g0001591"
"163","magenta","gene.Ha412HOChr01g0001641"
"164","skyblue3","gene.Ha412HOChr01g0001671"
"165","antiquewhite2","gene.Ha412HOChr01g0001691"
"166","antiquewhite2","gene.Ha412HOChr01g0001721"
"167","black","gene.Ha412HOChr01g0001741"
"168","darkturquoise","gene.Ha412HOChr01g0001801"
"169","midnightblue","gene.Ha412HOChr01g0001821"
"170","orange","gene.Ha412HOChr01g0001831"
"171","yellowgreen","gene.Ha412HOChr01g0001841"
"172","antiquewhite2","gene.Ha412HOChr01g0001871"
"173","turquoise","gene.Ha412HOChr01g0001881"
"174","navajowhite1","gene.Ha412HOChr01g0001901"
"175","turquoise","gene.Ha412HOChr01g0001931"
"176","yellow","gene.Ha412HOChr01g0001971"
"177","turquoise","gene.Ha412HOChr01g0002011"
"178","blue","gene.Ha412HOChr01g0002051"
"179","darkolivegreen","gene.Ha412HOChr01g0002061"
"180","ivory","gene.Ha412HOChr01g0002071"
"181","ivory","gene.Ha412HOChr01g0002101"
"182","midnightblue","gene.Ha412HOChr01g0002261"
"183","midnightblue","gene.Ha412HOChr01g0002271"
"184","blue","gene.Ha412HOChr01g0002361"
"185","blue","gene.Ha412HOChr01g0002371"
"186","blue","gene.Ha412HOChr01g0002411"
"187","blue","gene.Ha412HOChr01g0002431"
"188","blue","gene.Ha412HOChr01g0002451"
"189","greenyellow","gene.Ha412HOChr01g0002461"
"190","blue","gene.Ha412HOChr01g0002471"
"191","tan","gene.Ha412HOChr01g0002621"
"192","darkorange","gene.Ha412HOChr01g0002651"
"193","blue","gene.Ha412HOChr01g0002691"
"194","greenyellow","gene.Ha412HOChr01g0002751"
"195","mediumorchid","gene.Ha412HOChr01g0002771"
"196","magenta","gene.Ha412HOChr01g0002831"
"197","black","gene.Ha412HOChr01g0002871"
"198","darkolivegreen","gene.Ha412HOChr01g0002881"
"199","saddlebrown","gene.Ha412HOChr01g0002951"
"200","saddlebrown","gene.Ha412HOChr01g0002961"
"201","lightcoral","gene.Ha412HOChr01g0002981"
"202","lightcoral","gene.Ha412HOChr01g0002991"
"203","yellow","gene.Ha412HOChr01g0003001"
"204","blue","gene.Ha412HOChr01g0003121"
"205","turquoise","gene.Ha412HOChr01g0003141"
"206","greenyellow","gene.Ha412HOChr01g0003171"
"207","darkturquoise","gene.Ha412HOChr01g0003191"
"208","blue","gene.Ha412HOChr01g0003211"
"209","darkturquoise","gene.Ha412HOChr01g0003221"
"210","ivory","gene.Ha412HOChr01g0003261"
"211","black","gene.Ha412HOChr01g0003271"
"212","turquoise","gene.Ha412HOChr01g0003281"
"213","blue","gene.Ha412HOChr01g0003321"
"214","blue","gene.Ha412HOChr01g0003351"
"215","greenyellow","gene.Ha412HOChr01g0003391"
"216","greenyellow","gene.Ha412HOChr01g0003401"
"217","black","gene.Ha412HOChr01g0003441"
"218","yellow","gene.Ha412HOChr01g0003451"
"219","yellow","gene.Ha412HOChr01g0003471"
"220","paleturquoise","gene.Ha412HOChr01g0003501"
"221","yellow","gene.Ha412HOChr01g0003571"
"222","yellow","gene.Ha412HOChr01g0003601"
"223","blue","gene.Ha412HOChr01g0003611"
"224","turquoise","gene.Ha412HOChr01g0003621"
"225","cyan","gene.Ha412HOChr01g0003631"
"226","orangered4","gene.Ha412HOChr01g0003711"
"227","grey60","gene.Ha412HOChr01g0003741"
"228","midnightblue","gene.Ha412HOChr01g0003761"
"229","yellow","gene.Ha412HOChr01g0003771"
"230","ivory","gene.Ha412HOChr01g0003791"
"231","black","gene.Ha412HOChr01g0003881"
"232","black","gene.Ha412HOChr01g0003891"
"233","blue","gene.Ha412HOChr01g0003901"
"234","ivory","gene.Ha412HOChr01g0003911"
"235","blue","gene.Ha412HOChr01g0003921"
"236","darkgreen","gene.Ha412HOChr01g0003951"
"237","orangered4","gene.Ha412HOChr01g0003971"
"238","coral2","gene.Ha412HOChr01g0004021"
"239","darkgreen","gene.Ha412HOChr01g0004041"
"240","blue","gene.Ha412HOChr01g0004101"
"241","antiquewhite2","gene.Ha412HOChr01g0004111"
"242","saddlebrown","gene.Ha412HOChr01g0004141"
"243","lightcyan","gene.Ha412HOChr01g0004161"
"244","blue","gene.Ha412HOChr01g0004251"
"245","darkolivegreen","gene.Ha412HOChr01g0004301"
"246","blue","gene.Ha412HOChr01g0004311"
"247","lavenderblush3","gene.Ha412HOChr01g0004321"
"248","blue","gene.Ha412HOChr01g0004331"
"249","ivory","gene.Ha412HOChr01g0004341"
"250","saddlebrown","gene.Ha412HOChr01g0004351"
"251","saddlebrown","gene.Ha412HOChr01g0004361"
"252","blue","gene.Ha412HOChr01g0004371"
"253","greenyellow","gene.Ha412HOChr01g0004411"
"254","saddlebrown","gene.Ha412HOChr01g0004441"
"255","blue","gene.Ha412HOChr01g0004591"
"256","yellow","gene.Ha412HOChr01g0004601"
"257","saddlebrown","gene.Ha412HOChr01g0004621"
"258","turquoise","gene.Ha412HOChr01g0004661"
"259","saddlebrown","gene.Ha412HOChr01g0004741"
"260","cyan","gene.Ha412HOChr01g0004751"
"261","yellowgreen","gene.Ha412HOChr01g0004791"
"262","saddlebrown","gene.Ha412HOChr01g0004811"
"263","antiquewhite2","gene.Ha412HOChr01g0004871"
"264","saddlebrown","gene.Ha412HOChr01g0004961"
"265","black","gene.Ha412HOChr01g0005011"
"266","turquoise","gene.Ha412HOChr01g0005061"
"267","magenta4","gene.Ha412HOChr01g0005091"
"268","ivory","gene.Ha412HOChr01g0005101"
"269","ivory","gene.Ha412HOChr01g0005111"
"270","turquoise","gene.Ha412HOChr01g0005221"
"271","blue","gene.Ha412HOChr01g0005231"
"272","midnightblue","gene.Ha412HOChr01g0005241"
"273","ivory","gene.Ha412HOChr01g0005261"
"274","turquoise","gene.Ha412HOChr01g0005271"
"275","darkturquoise","gene.Ha412HOChr01g0005281"
"276","antiquewhite2","gene.Ha412HOChr01g0005291"
"277","violet","gene.Ha412HOChr01g0005341"
"278","saddlebrown","gene.Ha412HOChr01g0005361"
"279","bisque4","gene.Ha412HOChr01g0005381"
"280","navajowhite1","gene.Ha412HOChr01g0005401"
"281","lightgreen","gene.Ha412HOChr01g0005411"
"282","turquoise","gene.Ha412HOChr01g0005481"
"283","blue","gene.Ha412HOChr01g0005531"
"284","orangered4","gene.Ha412HOChr01g0005601"
"285","cyan","gene.Ha412HOChr01g0005621"
"286","yellow","gene.Ha412HOChr01g0005711"
"287","firebrick4","gene.Ha412HOChr01g0005771"
"288","black","gene.Ha412HOChr01g0005791"
"289","black","gene.Ha412HOChr01g0005801"
"290","blue","gene.Ha412HOChr01g0005981"
"291","maroon","gene.Ha412HOChr01g0006101"
"292","darkturquoise","gene.Ha412HOChr01g0006131"
"293","blue","gene.Ha412HOChr01g0006141"
"294","violet","gene.Ha412HOChr01g0006161"
"295","turquoise","gene.Ha412HOChr01g0006181"
"296","greenyellow","gene.Ha412HOChr01g0006221"
"297","blue","gene.Ha412HOChr01g0006231"
"298","orangered4","gene.Ha412HOChr01g0006261"
"299","blue","gene.Ha412HOChr01g0006281"
"300","blue","gene.Ha412HOChr01g0006301"
"301","turquoise","gene.Ha412HOChr01g0006321"
"302","honeydew1","gene.Ha412HOChr01g0006361"
"303","magenta","gene.Ha412HOChr01g0006421"
"304","blue","gene.Ha412HOChr01g0006441"
"305","turquoise","gene.Ha412HOChr01g0006501"
"306","magenta","gene.Ha412HOChr01g0006521"
"307","palevioletred3","gene.Ha412HOChr01g0006531"
"308","turquoise","gene.Ha412HOChr01g0006561"
"309","turquoise","gene.Ha412HOChr01g0006581"
"310","salmon","gene.Ha412HOChr01g0006591"
"311","yellow","gene.Ha412HOChr01g0006601"
"312","cyan","gene.Ha412HOChr01g0006621"
"313","lavenderblush2","gene.Ha412HOChr01g0006721"
"314","darkturquoise","gene.Ha412HOChr01g0006751"
"315","blue","gene.Ha412HOChr01g0006811"
"316","blue","gene.Ha412HOChr01g0006821"
"317","darkgrey","gene.Ha412HOChr01g0006841"
"318","black","gene.Ha412HOChr01g0006851"
"319","blue","gene.Ha412HOChr01g0006991"
"320","ivory","gene.Ha412HOChr01g0007111"
"321","cyan","gene.Ha412HOChr01g0007131"
"322","salmon","gene.Ha412HOChr01g0007141"
"323","midnightblue","gene.Ha412HOChr01g0007161"
"324","salmon","gene.Ha412HOChr01g0007171"
"325","darkgrey","gene.Ha412HOChr01g0007351"
"326","blue","gene.Ha412HOChr01g0007371"
"327","darkturquoise","gene.Ha412HOChr01g0007401"
"328","magenta","gene.Ha412HOChr01g0007421"
"329","lightcoral","gene.Ha412HOChr01g0007441"
"330","palevioletred3","gene.Ha412HOChr01g0007461"
"331","ivory","gene.Ha412HOChr01g0007471"
"332","blue","gene.Ha412HOChr01g0007551"
"333","ivory","gene.Ha412HOChr01g0007581"
"334","yellow","gene.Ha412HOChr01g0007591"
"335","greenyellow","gene.Ha412HOChr01g0007641"
"336","yellow","gene.Ha412HOChr01g0007661"
"337","plum3","gene.Ha412HOChr01g0007671"
"338","blue","gene.Ha412HOChr01g0007691"
"339","darkgreen","gene.Ha412HOChr01g0007711"
"340","blue","gene.Ha412HOChr01g0007721"
"341","blue","gene.Ha412HOChr01g0007741"
"342","palevioletred3","gene.Ha412HOChr01g0007811"
"343","turquoise","gene.Ha412HOChr01g0007841"
"344","black","gene.Ha412HOChr01g0007971"
"345","cyan","gene.Ha412HOChr01g0007981"
"346","black","gene.Ha412HOChr01g0008021"
"347","magenta","gene.Ha412HOChr01g0008041"
"348","turquoise","gene.Ha412HOChr01g0008051"
"349","yellowgreen","gene.Ha412HOChr01g0008091"
"350","saddlebrown","gene.Ha412HOChr01g0008111"
"351","orangered4","gene.Ha412HOChr01g0008131"
"352","lightgreen","gene.Ha412HOChr01g0008161"
"353","darkturquoise","gene.Ha412HOChr01g0008171"
"354","turquoise","gene.Ha412HOChr01g0008221"
"355","blue","gene.Ha412HOChr01g0008241"
"356","blue","gene.Ha412HOChr01g0008271"
"357","yellow","gene.Ha412HOChr01g0008281"
"358","magenta","gene.Ha412HOChr01g0008321"
"359","darkturquoise","gene.Ha412HOChr01g0008341"
"360","black","gene.Ha412HOChr01g0008371"
"361","magenta","gene.Ha412HOChr01g0008381"
"362","blue","gene.Ha412HOChr01g0008401"
"363","blue","gene.Ha412HOChr01g0008421"
"364","saddlebrown","gene.Ha412HOChr01g0008491"
"365","cyan","gene.Ha412HOChr01g0008561"
"366","turquoise","gene.Ha412HOChr01g0008581"
"367","black","gene.Ha412HOChr01g0008631"
"368","orangered4","gene.Ha412HOChr01g0008651"
"369","darkturquoise","gene.Ha412HOChr01g0008691"
"370","coral1","gene.Ha412HOChr01g0008731"
"371","yellow","gene.Ha412HOChr01g0008741"
"372","blue","gene.Ha412HOChr01g0008761"
"373","darkgreen","gene.Ha412HOChr01g0008811"
"374","ivory","gene.Ha412HOChr01g0008831"
"375","turquoise","gene.Ha412HOChr01g0008841"
"376","black","gene.Ha412HOChr01g0008861"
"377","lightcyan","gene.Ha412HOChr01g0008911"
"378","turquoise","gene.Ha412HOChr01g0008961"
"379","blue","gene.Ha412HOChr01g0008981"
"380","magenta","gene.Ha412HOChr01g0009021"
"381","black","gene.Ha412HOChr01g0009091"
"382","magenta","gene.Ha412HOChr01g0009121"
"383","grey60","gene.Ha412HOChr01g0009131"
"384","yellow","gene.Ha412HOChr01g0009161"
"385","blue","gene.Ha412HOChr01g0009171"
"386","blue","gene.Ha412HOChr01g0009241"
"387","cyan","gene.Ha412HOChr01g0009251"
"388","saddlebrown","gene.Ha412HOChr01g0009281"
"389","greenyellow","gene.Ha412HOChr01g0009291"
"390","navajowhite1","gene.Ha412HOChr01g0009331"
"391","blue","gene.Ha412HOChr01g0009361"
"392","magenta4","gene.Ha412HOChr01g0009391"
"393","saddlebrown","gene.Ha412HOChr01g0009401"
"394","darkturquoise","gene.Ha412HOChr01g0009451"
"395","greenyellow","gene.Ha412HOChr01g0009481"
"396","darkturquoise","gene.Ha412HOChr01g0009571"
"397","blue","gene.Ha412HOChr01g0009591"
"398","yellow","gene.Ha412HOChr01g0009601"
"399","black","gene.Ha412HOChr01g0009771"
"400","magenta4","gene.Ha412HOChr01g0009811"
"401","lightgreen","gene.Ha412HOChr01g0009871"
"402","ivory","gene.Ha412HOChr01g0009901"
"403","darkgreen","gene.Ha412HOChr01g0010021"
"404","darkgrey","gene.Ha412HOChr01g0010081"
"405","blue","gene.Ha412HOChr01g0010171"
"406","turquoise","gene.Ha412HOChr01g0010191"
"407","ivory","gene.Ha412HOChr01g0010221"
"408","blue","gene.Ha412HOChr01g0010501"
"409","ivory","gene.Ha412HOChr01g0010511"
"410","blue","gene.Ha412HOChr01g0010571"
"411","navajowhite1","gene.Ha412HOChr01g0010671"
"412","blue","gene.Ha412HOChr01g0010711"
"413","blue","gene.Ha412HOChr01g0010721"
"414","salmon","gene.Ha412HOChr01g0010741"
"415","blue","gene.Ha412HOChr01g0010761"
"416","lightcyan","gene.Ha412HOChr01g0010771"
"417","darkturquoise","gene.Ha412HOChr01g0010781"
"418","greenyellow","gene.Ha412HOChr01g0010801"
"419","magenta","gene.Ha412HOChr01g0010831"
"420","blue","gene.Ha412HOChr01g0010981"
"421","yellowgreen","gene.Ha412HOChr01g0010991"
"422","blue","gene.Ha412HOChr01g0011001"
"423","blue","gene.Ha412HOChr01g0011031"
"424","blue","gene.Ha412HOChr01g0011041"
"425","yellow","gene.Ha412HOChr01g0011051"
"426","turquoise","gene.Ha412HOChr01g0011061"
"427","turquoise","gene.Ha412HOChr01g0011071"
"428","black","gene.Ha412HOChr01g0011091"
"429","navajowhite1","gene.Ha412HOChr01g0011121"
"430","turquoise","gene.Ha412HOChr01g0011171"
"431","darkgreen","gene.Ha412HOChr01g0011201"
"432","darkgreen","gene.Ha412HOChr01g0011211"
"433","mediumpurple2","gene.Ha412HOChr01g0011231"
"434","blue","gene.Ha412HOChr01g0011241"
"435","magenta","gene.Ha412HOChr01g0011361"
"436","darkolivegreen4","gene.Ha412HOChr01g0011401"
"437","lightcyan","gene.Ha412HOChr01g0011461"
"438","greenyellow","gene.Ha412HOChr01g0011521"
"439","turquoise","gene.Ha412HOChr01g0011561"
"440","blue","gene.Ha412HOChr01g0011591"
"441","blue","gene.Ha412HOChr01g0011611"
"442","yellowgreen","gene.Ha412HOChr01g0011621"
"443","blue","gene.Ha412HOChr01g0011651"
"444","turquoise","gene.Ha412HOChr01g0011681"
"445","blue","gene.Ha412HOChr01g0011741"
"446","orangered4","gene.Ha412HOChr01g0011751"
"447","lightcoral","gene.Ha412HOChr01g0011761"
"448","salmon2","gene.Ha412HOChr01g0011801"
"449","greenyellow","gene.Ha412HOChr01g0011821"
"450","orangered4","gene.Ha412HOChr01g0011851"
"451","blue","gene.Ha412HOChr01g0011861"
"452","blue","gene.Ha412HOChr01g0011881"
"453","darkturquoise","gene.Ha412HOChr01g0011891"
"454","ivory","gene.Ha412HOChr01g0011941"
"455","darkolivegreen","gene.Ha412HOChr01g0012031"
"456","orangered4","gene.Ha412HOChr01g0012091"
"457","turquoise","gene.Ha412HOChr01g0012101"
"458","magenta","gene.Ha412HOChr01g0012141"
"459","darkturquoise","gene.Ha412HOChr01g0012211"
"460","turquoise","gene.Ha412HOChr01g0012231"
"461","darkolivegreen4","gene.Ha412HOChr01g0012331"
"462","blue","gene.Ha412HOChr01g0012341"
"463","blue","gene.Ha412HOChr01g0012351"
"464","turquoise","gene.Ha412HOChr01g0012361"
"465","darkmagenta","gene.Ha412HOChr01g0012411"
"466","cyan","gene.Ha412HOChr01g0012421"
"467","yellow","gene.Ha412HOChr01g0012511"
"468","mediumorchid","gene.Ha412HOChr01g0012571"
"469","blue","gene.Ha412HOChr01g0012681"
"470","blue","gene.Ha412HOChr01g0012701"
"471","mediumpurple2","gene.Ha412HOChr01g0012721"
"472","yellow","gene.Ha412HOChr01g0012731"
"473","blue","gene.Ha412HOChr01g0012821"
"474","salmon","gene.Ha412HOChr01g0012841"
"475","grey60","gene.Ha412HOChr01g0012911"
"476","navajowhite1","gene.Ha412HOChr01g0013011"
"477","blue","gene.Ha412HOChr01g0013041"
"478","ivory","gene.Ha412HOChr01g0013061"
"479","maroon","gene.Ha412HOChr01g0013071"
"480","darkslateblue","gene.Ha412HOChr01g0013081"
"481","coral1","gene.Ha412HOChr01g0013091"
"482","cyan","gene.Ha412HOChr01g0013101"
"483","blue","gene.Ha412HOChr01g0013141"
"484","skyblue","gene.Ha412HOChr01g0013171"
"485","darkorange","gene.Ha412HOChr01g0013211"
"486","cyan","gene.Ha412HOChr01g0013251"
"487","turquoise","gene.Ha412HOChr01g0013331"
"488","cyan","gene.Ha412HOChr01g0013361"
"489","blue2","gene.Ha412HOChr01g0013381"
"490","lightcyan","gene.Ha412HOChr01g0013421"
"491","black","gene.Ha412HOChr01g0013431"
"492","turquoise","gene.Ha412HOChr01g0013451"
"493","antiquewhite2","gene.Ha412HOChr01g0013461"
"494","darkturquoise","gene.Ha412HOChr01g0013531"
"495","darkgreen","gene.Ha412HOChr01g0013551"
"496","navajowhite1","gene.Ha412HOChr01g0013561"
"497","darkorange","gene.Ha412HOChr01g0013781"
"498","darkorange","gene.Ha412HOChr01g0013801"
"499","turquoise","gene.Ha412HOChr01g0013891"
"500","darkorange","gene.Ha412HOChr01g0013921"
"501","grey60","gene.Ha412HOChr01g0013951"
"502","black","gene.Ha412HOChr01g0014011"
"503","blue","gene.Ha412HOChr01g0014021"
"504","yellow","gene.Ha412HOChr01g0014171"
"505","blue","gene.Ha412HOChr01g0014181"
"506","blue","gene.Ha412HOChr01g0014201"
"507","blue","gene.Ha412HOChr01g0014211"
"508","darkorange","gene.Ha412HOChr01g0014231"
"509","turquoise","gene.Ha412HOChr01g0014251"
"510","blue","gene.Ha412HOChr01g0014281"
"511","yellow","gene.Ha412HOChr01g0014301"
"512","turquoise","gene.Ha412HOChr01g0014331"
"513","blue","gene.Ha412HOChr01g0014351"
"514","yellow","gene.Ha412HOChr01g0014381"
"515","darkolivegreen4","gene.Ha412HOChr01g0014391"
"516","darkturquoise","gene.Ha412HOChr01g0014401"
"517","grey60","gene.Ha412HOChr01g0014411"
"518","violet","gene.Ha412HOChr01g0014441"
"519","black","gene.Ha412HOChr01g0014461"
"520","blue","gene.Ha412HOChr01g0014471"
"521","orangered3","gene.Ha412HOChr01g0014481"
"522","orangered4","gene.Ha412HOChr01g0014561"
"523","blue","gene.Ha412HOChr01g0014571"
"524","turquoise","gene.Ha412HOChr01g0014581"
"525","blue","gene.Ha412HOChr01g0014591"
"526","grey60","gene.Ha412HOChr01g0014641"
"527","darkorange","gene.Ha412HOChr01g0014691"
"528","ivory","gene.Ha412HOChr01g0014701"
"529","ivory","gene.Ha412HOChr01g0014751"
"530","darkolivegreen","gene.Ha412HOChr01g0014791"
"531","darkorange","gene.Ha412HOChr01g0014801"
